Player,Team,Salary
Odell Beckham Jr.,NYG,8000
Davante Adams,GNB,7600
Antonio Brown,PIT,9100
Robby Anderson,NYJ,3800
Tre'Quan Smith,NOR,3300
Adam Thielen,MIN,7700
DeAndre Hopkins,HOU,8200
Demaryius Thomas,DEN,5600
Stefon Diggs,MIN,7000
Cooper Kupp,LAR,6300
A.J. Green,CIN,7200
Kenny Golladay,DET,6000
Marquez Valdes-Scantling,GNB,3300
Robert Woods,LAR,6500
Tyler Lockett,SEA,4600
Trent Taylor,SFO,3400
David Moore,SEA,3000
Christian Kirk,ARI,3700
Keenan Allen,LAC,7800
Mohamed Sanu,ATL,4000
Keke Coutee,HOU,4200
Emmanuel Sanders,DEN,7100
Rashard Higgins,CLE,3500
Chester Rogers,IND,4400
Jordy Nelson,OAK,4500
Sammy Watkins,KAN,4800
Donte Moncrief,JAC,4100
JuJu Smith-Schuster,PIT,7500
Josh Gordon,NWE,5800
Julian Edelman,NWE,5500
Tyreek Hill,KAN,6900
Michael Crabtree,BAL,5100
Jarvis Landry,CLE,6800
Equanimeous St. Brown,GNB,3000
Ryan Grant,IND,4500
Curtis Samuel,CAR,3500
Sterling Shepard,NYG,5600
Michael Thomas,NOR,8700
Julio Jones,ATL,8500
Martavis Bryant,OAK,3400
Cameron Meredith,NOR,3800
Keelan Cole,JAC,4900
D.J. Moore,CAR,3700
Willie Snead,BAL,3900
Courtland Sutton,DEN,3400
John Brown,BAL,5600
Pierre Garcon,SFO,4300
Tyrell Williams,LAC,3600
Jamison Crowder,WAS,4300
Albert Wilson,MIA,3700
Devin Funchess,CAR,5200
Golden Tate,DET,6700
Derrick Willies,CLE,3000
Cordarrelle Patterson,NWE,3300
Terrelle Pryor,NYJ,3200
Paul Richardson,WAS,4400
Corey Davis,TEN,6400
D.J. Chark,JAC,3000
Dede Westbrook,JAC,4700
Nelson Agholor,PHI,5300
Tyler Boyd,CIN,5700
Russell Shepard,NYG,3000
Seth Roberts,OAK,3200
Calvin Ridley,ATL,5800
Marvin Jones,DET,4700
Mike Williams,LAC,4200
Maurice Harris,WAS,3000
DaeSean Hamilton,DEN,3000
Kendrick Bourne,SFO,3200
Allen Hurns,DAL,3500
Josh Reynolds,LAR,3000
Chris Hogan,NWE,4500
Tajae Sharpe,TEN,3100
Danny Amendola,MIA,3800
Jakeem Grant,MIA,3700
Alshon Jeffery,PHI,6200
Shelton Gibson,PHI,3000
Phillip Dorsett,NWE,4200
Jarius Wright,CAR,3500
Larry Fitzgerald,ARI,4700
Alex Erickson,CIN,3000
Tavon Austin,DAL,3500
Antonio Callaway,CLE,4400
Laquon Treadwell,MIN,3300
Zay Jones,BUF,3600
Taywan Taylor,TEN,4000
Jawill Davis,NYG,3000
Marcus Johnson,IND,3000
Marvin Hall,ATL,3000
Chad Williams,ARI,3000
Chris Conley,KAN,3200
Deonte Thompson,DAL,3400
Austin Carr,NOR,3000
Kenny Stills,MIA,5400
Will Fuller,HOU,6500
Chris Moore,BAL,3000
Jermaine Kearse,NYJ,3400
KhaDarel Hodge,LAR,3000
De'Anthony Thomas,KAN,3200
Zach Pascal,IND,3600
Kelvin Benjamin,BUF,3500
Amari Cooper,OAK,5500
Victor Bolden,SFO,3000
Cole Beasley,DAL,3800
Richie James,SFO,3000
Brian Quick,WAS,3000
Darius Jennings,TEN,3000
Michael Gallup,DAL,3400
Tim Patrick,DEN,3000
Ryan Switzer,PIT,3000
Andre Roberts,NYJ,3000
Jordan Matthews,PHI,3500
Ray-Ray McCloud,BUF,3000
Doug Baldwin,SEA,5000
Marcus Kemp,KAN,3000
Michael Floyd,WAS,3000
Brandon Zylstra,MIN,3000
Damiere Byrd,CAR,3000
Josh Malone,CIN,3000
J.J. Nelson,ARI,3000
Geremy Davis,LAC,3000
Demarcus Robinson,KAN,3000
Brandon Marshall,SEA,3800
Jaydon Mickens,JAC,3000
Torrey Smith,CAR,3500
Kamar Aiken,PHI,3000
Brandin Cooks,LAR,7400
Tim White,BAL,3000
James Washington,PIT,3500
Andre Holmes,BUF,3300
Quincy Enunwa,NYJ,5200
Robert Foster,BUF,3000
Sammie Coates,HOU,3000
Matthew Slater,NWE,3000
DeAndre Carter,PHI,3000
Nick Williams,TEN,3000
Cody Core,CIN,3000
Aldrick Robinson,MIN,3300
Jaron Brown,SEA,3500
Justin Hunter,PIT,3000
Justin Hardy,ATL,3000
Dwayne Harris,OAK,3000
Rod Streater,CLE,3000
