Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.07,0.0,6.37,72.62,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,2.19,0.01,4.48,49.89,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kamar Aiken,FA,1.0,0.03,0.0,0.17,4.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,0.28,0.0,6.72,81.54,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.62,0.0,4.36,47.89,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,0.3,0.0,3.16,40.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tavon Austin,DAL,1.0,9.75,0.09,0.66,7.98,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.82,0.0,4.52,68.86,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.26,0.0,3.38,40.13,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Odell Beckham,NYG,1.0,2.32,0.01,7.1,84.19,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.06,0.0,2.86,36.49,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kendrick Bourne,SF,1.0,0.04,0.0,1.74,22.36,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,1.0,1.62,0.01,6.09,77.56,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Brown,PIT,1.0,0.19,0.0,7.26,90.21,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaron Brown,SEA,1.0,0.03,0.0,0.72,11.39,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,2.83,0.03,3.43,56.54,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Martavis Bryant,OAK,1.0,1.53,0.0,2.92,39.81,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,1.29,0.01,3.57,44.31,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,1.0,0.18,0.0,0.69,8.49,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
