Player,Team,Salary
Tyreek Hill,KAN,7800
Davante Adams,GNB,8400
Albert Wilson,MIA,4900
Marquise Goodwin,SFO,5500
Cole Beasley,DAL,5400
Tyrell Williams,LAC,5400
Adam Thielen,MIN,8600
Alshon Jeffery,PHI,6800
Tyler Boyd,CIN,6300
Emmanuel Sanders,DEN,6700
Julio Jones,ATL,8500
Antonio Brown,PIT,9100
Michael Crabtree,BAL,6200
JuJu Smith-Schuster,PIT,7800
Devin Funchess,CAR,6300
Robert Woods,LAR,7300
Allen Robinson,CHI,6500
DeAndre Hopkins,HOU,9000
Torrey Smith,CAR,4600
Chris Godwin,TAM,5900
Taylor Gabriel,CHI,5600
Terrelle Pryor,NYJ,4700
Julian Edelman,NWE,6900
Jermaine Kearse,NYJ,4600
Chester Rogers,IND,5700
Demaryius Thomas,DEN,6500
Keenan Allen,LAC,8100
David Moore,SEA,4700
Marcus Johnson,IND,4500
Doug Baldwin,SEA,6200
A.J. Green,CIN,8800
Marquez Valdes-Scantling,GNB,5500
Mohamed Sanu,ATL,5800
Dede Westbrook,JAC,5700
Damion Ratley,CLE,4500
Zay Jones,BUF,4500
Paul Richardson,WAS,5700
Christian Kirk,ARI,5400
Nelson Agholor,PHI,6000
DeSean Jackson,TAM,6500
Danny Amendola,MIA,4600
Chris Hogan,NWE,6200
Adam Humphries,TAM,4600
Tyler Lockett,SEA,6600
Willie Snead,BAL,5400
Anthony Miller,CHI,5400
Mike Evans,TAM,8000
Odell Beckham Jr.,NYG,8600
Courtland Sutton,DEN,4800
Jaron Brown,SEA,4500
Zach Pascal,IND,5100
Cody Latimer,NYG,4500
Josh Gordon,NWE,6600
Larry Fitzgerald,ARI,6200
Brandin Cooks,LAR,7800
Calvin Ridley,ATL,6700
Kenny Stills,MIA,5800
Laquon Treadwell,MIN,5000
Pierre Garcon,SFO,5300
Stefon Diggs,MIN,8200
D.J. Moore,CAR,4900
Seth Roberts,OAK,4800
Robby Anderson,NYJ,5500
Kelvin Benjamin,BUF,4800
Sterling Shepard,NYG,6300
Keke Coutee,HOU,5700
Justin Hardy,ATL,4600
Jakeem Grant,MIA,4600
Tajae Sharpe,TEN,4500
Will Fuller,HOU,7300
Keelan Cole,JAC,5700
Antonio Callaway,CLE,4900
John Brown,BAL,6300
Jordan Matthews,PHI,5200
Josh Doctson,WAS,4600
Maurice Harris,WAS,4500
Ryan Grant,IND,5500
Michael Gallup,DAL,4600
Corey Davis,TEN,6300
Martavis Bryant,OAK,5600
Sammy Watkins,KAN,6400
Chris Moore,BAL,4500
Kendrick Bourne,SFO,4500
Andre Holmes,BUF,4500
Equanimeous St. Brown,GNB,5100
Chris Conley,KAN,4500
Tavon Austin,DAL,5000
Brian Quick,WAS,4500
Jarvis Landry,CLE,6900
Cordarrelle Patterson,NWE,4700
Mike Williams,LAC,6100
Alex Erickson,CIN,4500
Taywan Taylor,TEN,5000
Brandon Marshall,SEA,5000
DeAndre Carter,PHI,4500
Jordy Nelson,OAK,5600
J'Mon Moore,GNB,4500
Russell Gage,ATL,4500
J.J. Nelson,ARI,4600
Cooper Kupp,LAR,6800
Ryan Switzer,PIT,4500
Dwayne Harris,OAK,4500
Chad Williams,ARI,4500
Jarius Wright,CAR,4700
Deonte Thompson,DAL,4700
Josh Reynolds,LAR,5100
Marcus Kemp,KAN,4500
Cameron Batson,TEN,4500
Shelton Gibson,PHI,4500
DaeSean Hamilton,DEN,4500
Michael Floyd,WAS,4500
Phillip Dorsett,NWE,5300
Brandon Zylstra,MIN,4500
Jawill Davis,NYG,4500
Amari Cooper,OAK,6400
Donte Moncrief,JAC,5700
Josh Malone,CIN,4500
Allen Hurns,DAL,4900
Darius Jennings,TEN,4500
Geremy Davis,LAC,4500
Demarcus Robinson,KAN,4600
JoJo Natson,LAR,4500
Jaydon Mickens,JAC,4500
Kamar Aiken,PHI,4500
D.J. Chark,JAC,4600
James Washington,PIT,5000
KhaDarel Hodge,LAR,4800
Andre Roberts,NYJ,4500
DeVante Parker,MIA,5000
Robert Foster,BUF,4500
Sammie Coates,HOU,4500
Matthew Slater,NWE,4500
Victor Bolden,SFO,4500
Curtis Samuel,CAR,4700
Cody Core,CIN,4500
Aldrick Robinson,MIN,5100
Richie James,SFO,4500
Rod Streater,CLE,4500
Justin Hunter,PIT,4500
Josh Bellamy,CHI,4500
Tim Patrick,DEN,4500
Marvin Hall,ATL,4500
Kevin White,CHI,4500
Quincy Enunwa,NYJ,5800
Ray-Ray McCloud,BUF,4500
