Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS
Davante Adams,GB,1.0,0.07,0.0,6.37,78.11,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nelson Agholor,PHI,1.0,2.67,0.02,4.34,49.08,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kamar Aiken,,1.0,0.03,0.0,0.23,3.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keenan Allen,LAC,1.0,0.79,0.01,6.6,78.26,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Amendola,MIA,1.0,0.22,0.0,3.53,43.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robby Anderson,NYJ,1.0,0.74,0.0,2.3,39.46,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tavon Austin,DAL,1.0,7.45,0.05,0.86,12.89,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Doug Baldwin,SEA,1.0,0.3,0.0,3.79,61.78,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.12,0.0,2.66,34.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Odell Beckham,NYG,1.0,1.99,0.01,7.03,84.25,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Bellamy,CHI,1.0,0.17,0.0,0.68,9.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.05,0.0,2.77,37.99,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Victor Bolden,BUF,1.0,0.11,0.0,0.73,7.99,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kendrick Bourne,SF,1.0,0.14,0.0,2.93,36.33,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyler Boyd,CIN,1.0,0.72,0.01,5.53,72.39,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.2,0.0,7.19,91.72,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaron Brown,SEA,1.0,0.03,0.0,0.55,9.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Brown,BAL,1.0,1.64,0.01,3.66,58.42,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Martavis Bryant,OAK,1.0,1.33,0.0,2.66,37.28,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Callaway,CLE,1.0,1.94,0.02,3.92,46.32,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
DeAndre Carter,HOU,1.0,0.11,0.0,0.06,1.44,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
D.J. Chark,JAX,1.0,0.16,0.0,0.98,13.82,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sammie Coates,,1.0,0.08,0.0,0.21,3.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
