Player,Team,Salary
Aaron Rodgers,GNB,6300
Deshaun Watson,HOU,6600
Nick Foles,PHI,4700
Ben Roethlisberger,PIT,6700
Sam Darnold,NYJ,4900
Russell Wilson,SEA,6100
Patrick Mahomes II,KAN,7000
Andrew Luck,IND,6200
Baker Mayfield,CLE,6100
Eli Manning,NYG,4800
Kirk Cousins,MIN,6000
Matt Ryan,ATL,6100
Drew Brees,NOR,6500
Jameis Winston,TAM,5500
Jared Goff,LAR,6400
Jeff Driskel,CIN,4600
Dak Prescott,DAL,5700
Lamar Jackson,BAL,6000
Case Keenum,DEN,5300
Taylor Heinicke,CAR,4000
Josh Allen,BUF,5800
Mitchell Trubisky,CHI,6300
Ryan Tannehill,MIA,4600
Josh Johnson,WAS,5100
Nick Mullens,SFO,4700
Josh Rosen,ARI,4500
Blaine Gabbert,TEN,4200
Tom Brady,NWE,5900
Derek Carr,OAK,4900
Philip Rivers,LAC,6200
Marcus Mariota,TEN,5500
Matthew Stafford,DET,4900
Blake Bortles,JAC,4500
Cody Kessler,JAC,4600
Matt Cassel,DET,4000
Mike Glennon,ARI,4200
Nate Sudfeld,PHI,4000
Joe Webb,HOU,4000
Sean Mannion,LAR,4300
Brian Hoyer,NWE,4200
Taysom Hill,NOR,4000
