Player,Team,Salary
Tyreek Hill,KC,7300
Michael Thomas,NO,8500
DeSean Jackson,TB,5900
Randall Cobb,GB,6200
Kenny Stills,MIA,6000
Emmanuel Sanders,DEN,6300
Mike Evans,TB,7700
Julio Jones,ATL,8300
Keenan Allen,LAC,8000
Antonio Brown,PIT,9000
Ted Ginn,NO,6200
Davante Adams,GB,8100
Odell Beckham,NYG,7800
A.J. Green,CIN,8400
Phillip Dorsett,NE,5900
Geronimo Allison,GB,5000
Quincy Enunwa,NYJ,5000
Cooper Kupp,LAR,6300
Kenny Golladay,DET,5700
JuJu Smith-Schuster,PIT,7000
Jarvis Landry,CLE,6600
Tyler Lockett,SEA,5600
Adam Thielen,MIN,7600
T.Y. Hilton,IND,7200
Dante Pettis,SF,4500
Willie Snead,BAL,5100
Stefon Diggs,MIN,7400
Jakeem Grant,MIA,4500
John Brown,BAL,5500
Brandin Cooks,LAR,7000
Chris Godwin,TB,5500
Michael Crabtree,BAL,6600
DeAndre Hopkins,HOU,8800
Larry Fitzgerald,ARI,7300
Cole Beasley,DAL,4800
Mike Williams,LAC,5400
Ryan Grant,IND,4900
Robby Anderson,NYJ,6400
Nelson Agholor,PHI,5900
Corey Davis,TEN,6400
Allen Robinson,CHI,6500
Tyrell Williams,LAC,5500
Dede Westbrook,JAX,5300
Marvin Jones,DET,6900
Sterling Shepard,NYG,6000
Keelan Cole,JAX,4500
John Ross,CIN,5100
Andre Roberts,NYJ,4500
Darius Jennings,TEN,4500
Robert Woods,LAR,6500
Devin Funchess,CAR,6400
Courtland Sutton,DEN,4700
Albert Wilson,MIA,5000
Taylor Gabriel,CHI,5000
Trent Taylor,SF,4500
Jamison Crowder,WAS,6200
Danny Amendola,MIA,5100
Rashard Higgins,CLE,4500
Adam Humphries,TB,4600
Paul Richardson,WAS,5700
Tyler Boyd,CIN,4700
Zay Jones,BUF,5300
Jarius Wright,CAR,4500
Mohamed Sanu,ATL,5900
Jordy Nelson,OAK,6000
Sammy Watkins,KC,6500
Chester Rogers,IND,4900
Pierre Garcon,SF,6200
Austin Carr,NO,4500
Laquon Treadwell,MIN,4600
Allen Hurns,DAL,5900
Travis Benjamin,LAC,4800
Cordarrelle Patterson,NE,4600
Anthony Miller,CHI,5400
Tajae Sharpe,TEN,4500
Torrey Smith,CAR,4900
Chris Conley,KC,4500
Donte Moncrief,JAX,5200
Seth Roberts,OAK,4500
Chris Hogan,NE,6700
Josh Doctson,WAS,5700
Michael Gallup,DAL,5500
Jaron Brown,SEA,4500
Terrance Williams,DAL,5300
T.J. Jones,DET,4500
Justin Hunter,PIT,4500
Chris Moore,BAL,4500
Christian Kirk,ARI,5400
Ryan Switzer,PIT,4500
D.J. Moore,CAR,5500
Tavon Austin,DAL,4500
David Moore,SEA,4500
Shelton Gibson,PHI,4500
Janarion Grant,BAL,4500
DaeSean Hamilton,DEN,4500
Darrius Heyward-Bey,PIT,4500
Antonio Callaway,CLE,4500
Alex Erickson,CIN,4500
Kendrick Bourne,SF,4500
Calvin Ridley,ATL,5600
Damiere Byrd,CAR,4500
Josh Malone,CIN,4500
J.J. Nelson,ARI,4600
Demarcus Robinson,KC,4600
Marquise Goodwin,SF,6400
Cody Latimer,NYG,4500
Doug Baldwin,SEA,7500
Taywan Taylor,TEN,4500
James Washington,PIT,5100
Tommylee Lewis,NO,4500
Trey Quinn,WAS,4500
Tre'Quan Smith,NO,4500
Robert Foster,BUF,4500
Marquez Valdes-Scantling,GB,4500
Matthew Slater,NE,4500
Mike Wallace,PHI,5300
Josh Bellamy,CHI,4500
Chad Williams,ARI,4500
Justin Hardy,ATL,4600
Tim Patrick,DEN,4500
Kevin White,CHI,4500
Russell Shepard,NYG,4500
Dwayne Harris,OAK,4500
Riley McCarron,NE,4500
