Player,Team,Salary
Jared Cook,OAK,3700
Rob Gronkowski,NWE,6900
Will Dissly,SEA,2500
Eric Ebron,IND,3300
Jordan Reed,WAS,4000
George Kittle,SFO,3300
Jack Doyle,IND,3600
Zach Ertz,PHI,6600
Delanie Walker,TEN,4900
Jesse James,PIT,2700
Ben Watson,NOR,3100
Kyle Rudolph,MIN,4500
Tyler Eifert,CIN,3400
O.J. Howard,TAM,3100
Nick Boyle,BAL,2500
Maxx Williams,BAL,2500
Mark Andrews,BAL,2700
Neal Sterling,NYJ,2500
Luke Stocker,TEN,2500
Antonio Gates,LAC,2600
Austin Seferian-Jenkins,JAC,3200
Austin Hooper,ATL,2900
Greg Olsen,CAR,5400
Ricky Seals-Jones,ARI,3000
Jake Butt,DEN,2700
Geoff Swaim,DAL,2500
David Njoku,CLE,3400
Virgil Green,LAC,2700
Derek Carrier,OAK,2500
Evan Engram,NYG,4700
Jason Croom,BUF,2500
Jordan Thomas,HOU,2500
Logan Thomas,BUF,2500
Jordan Akins,HOU,2500
Dion Sims,CHI,2500
Jimmy Graham,GNB,4800
Rhett Ellison,NYG,2500
Trey Burton,CHI,4300
Jeff Heuerman,DEN,2600
Josh Hill,NOR,2700
Ian Thomas,CAR,2500
Lance Kendricks,GNB,2500
Erik Swoope,IND,2500
Darren Fells,CLE,2500
Jonnu Smith,TEN,2800
Mike Gesicki,MIA,2900
Nick Vannett,SEA,2600
Vernon Davis,WAS,3900
Tyler Kroft,CIN,2700
David Morgan,MIN,2500
Eric Tomlinson,NYJ,2500
Levine Toilolo,DET,2500
Travis Kelce,KAN,6400
Tyler Conklin,MIN,2500
Hakeem Valles,DET,2800
C.J. Uzomah,CIN,2500
Dallas Goedert,PHI,3000
Garrett Celek,SFO,2600
Clark Harris,CIN,2500
Jeremy Sprinkle,WAS,2500
Blake Jarwin,DAL,2500
Logan Paulsen,ATL,2500
Chris Manhertz,CAR,2500
Jordan Leggett,NYJ,2600
Charles Clay,BUF,3500
Antony Auclair,TAM,2500
Marcedes Lewis,GNB,2500
A.J. Derby,MIA,2500
James O'Shaughnessy,JAC,2500
Scott Simonson,NYG,2500
Niles Paul,JAC,2500
Michael Roberts,DET,2500
Xavier Grimble,PIT,2500
Matt LaCosse,DEN,2500
Luke Willson,DET,3000
Seth DeValve,CLE,2700
Ryan Griffin,HOU,2800
Dwayne Allen,NWE,2800
Eric Saubert,ATL,2500
Darrell Daniels,SEA,2500
Alan Cross,TAM,2500
Gabe Holmes,ARI,2500
Ben Braunecker,CHI,2500
Shane Smith,NYG,2600
Cole Wick,SFO,2500
Orson Charles,CLE,2500
Cameron Brate,TAM,3000
Joshua Perkins,PHI,2500
