Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Block,Return TD,Pts Allow,POS
San Francisco 49ers,SF,1.0,2.16,1.05,0.65,0.03,0.09,0.09,0.01,24.92,DST
Chicago Bears,CHI,1.0,2.74,0.93,0.58,0.05,0.1,0.07,0.05,19.89,DST
Cincinnati Bengals,CIN,1.0,2.45,0.86,0.6,0.06,0.1,0.08,0.03,21.48,DST
Buffalo Bills,BUF,1.0,2.16,0.75,0.62,0.04,0.1,0.07,0.01,23.8,DST
Denver Broncos,DEN,1.0,2.0,0.68,0.62,0.03,0.1,0.11,0.01,22.53,DST
Cleveland Browns,CLE,1.0,2.38,1.01,0.66,0.03,0.1,0.11,0.01,23.09,DST
Tampa Bay Buccaneers,TB,1.0,2.14,0.7,0.7,0.03,0.1,0.1,0.03,23.24,DST
Arizona Cardinals,ARI,1.0,2.07,0.72,0.71,0.02,0.1,0.06,0.0,25.57,DST
Los Angeles Chargers,LAC,1.0,2.74,1.2,0.53,0.06,0.1,0.06,0.03,16.59,DST
Indianapolis Colts,IND,1.0,2.49,0.87,0.67,0.06,0.1,0.1,0.04,19.82,DST
Dallas Cowboys,DAL,1.0,2.75,0.86,0.7,0.06,0.09,0.07,0.01,20.21,DST
Miami Dolphins,MIA,1.0,1.82,0.88,0.49,0.02,0.1,0.11,0.0,26.38,DST
Philadelphia Eagles,PHI,1.0,2.37,0.83,0.58,0.05,0.1,0.1,0.02,18.87,DST
Atlanta Falcons,ATL,1.0,1.77,0.71,0.64,0.03,0.1,0.07,0.0,27.7,DST
New York Giants,NYG,1.0,2.08,0.83,0.76,0.04,0.1,0.08,0.01,24.49,DST
Jacksonville Jaguars,JAX,1.0,3.37,0.94,0.72,0.05,0.1,0.07,0.03,19.92,DST
New York Jets,NYJ,1.0,1.8,0.68,0.56,0.03,0.09,0.08,0.02,24.09,DST
Detroit Lions,DET,1.0,2.65,0.69,0.75,0.04,0.11,0.09,0.01,23.2,DST
Green Bay Packers,GB,1.0,2.11,1.11,0.65,0.03,0.09,0.08,0.0,25.52,DST
Carolina Panthers,CAR,1.0,2.66,0.96,0.67,0.06,0.09,0.08,0.03,21.86,DST
New England Patriots,NE,1.0,2.81,0.97,0.6,0.04,0.1,0.1,0.03,19.46,DST
Oakland Raiders,OAK,1.0,2.34,0.78,0.78,0.04,0.09,0.08,0.0,28.37,DST
Baltimore Ravens,BAL,1.0,2.28,0.89,0.65,0.04,0.1,0.08,0.03,14.84,DST
Washington Redskins,WAS,1.0,2.79,0.83,0.64,0.04,0.1,0.06,0.0,25.53,DST
New Orleans Saints,NO,1.0,2.23,0.93,0.58,0.04,0.1,0.07,0.02,19.74,DST
Seattle Seahawks,SEA,1.0,2.13,0.83,0.54,0.03,0.09,0.09,0.01,22.51,DST
Pittsburgh Steelers,PIT,1.0,2.55,0.89,0.61,0.03,0.1,0.1,0.02,20.38,DST
Houston Texans,HOU,1.0,2.83,0.86,0.6,0.06,0.1,0.08,0.05,20.05,DST
Tennessee Titans,TEN,1.0,2.75,0.85,0.57,0.03,0.09,0.07,0.03,22.94,DST
Minnesota Vikings,MIN,1.0,2.41,0.87,0.57,0.05,0.09,0.08,0.02,19.08,DST
