Player,Team,Salary
Eric Ebron,IND,5700
Zach Ertz,PHI,7500
Travis Kelce,KAN,7700
Austin Hooper,ATL,5000
George Kittle,SFO,6400
Jimmy Graham,GNB,6100
Rob Gronkowski,NWE,7900
Niles Paul,JAC,4200
David Njoku,CLE,5200
Ryan Griffin,HOU,4500
Josh Hill,NOR,4400
Virgil Green,LAC,4300
Lance Kendricks,GNB,4300
Geoff Swaim,DAL,4400
Kyle Rudolph,MIN,6100
Nick Vannett,SEA,4300
Ian Thomas,CAR,4000
C.J. Uzomah,CIN,4700
Ben Watson,NOR,5200
Rhett Ellison,NYG,4400
James O'Shaughnessy,JAC,4000
Mike Gesicki,MIA,4400
Jared Cook,OAK,5900
Gerald Everett,LAR,4500
Rico Gathers,DAL,4500
Tyler Higbee,LAR,4200
Seth DeValve,CLE,4400
Jesse James,PIT,5200
Antonio Gates,LAC,4800
Matt LaCosse,DEN,4000
Jeff Heuerman,DEN,4400
Jordan Reed,WAS,6200
Dallas Goedert,PHI,4600
Vernon Davis,WAS,4500
Eric Tomlinson,NYJ,4000
Mark Andrews,BAL,4000
Jason Croom,BUF,4000
Maxx Williams,BAL,4300
Charles Clay,BUF,4600
Blake Jarwin,DAL,4000
Jermaine Gresham,ARI,4400
Jordan Thomas,HOU,4000
Jordan Leggett,NYJ,4400
Nick Boyle,BAL,4400
Jordan Akins,HOU,4000
Xavier Grimble,PIT,4200
Darren Fells,CLE,4300
Eric Saubert,ATL,4000
Hayden Hurst,BAL,4500
Vance McDonald,PIT,4600
Demetrius Harris,KAN,4200
David Morgan,MIN,4200
Ricky Seals-Jones,ARI,5100
Garrett Celek,SFO,4500
Jeremy Sprinkle,WAS,4000
Logan Paulsen,ATL,4100
Chris Manhertz,CAR,4100
Austin Seferian-Jenkins,JAC,4600
Logan Thomas,BUF,4400
Marcedes Lewis,GNB,4500
Jonnu Smith,TEN,4200
Nick O'Leary,MIA,4000
Scott Simonson,NYG,4000
Derek Carrier,OAK,4100
Chris Herndon,NYJ,4000
Lee Smith,OAK,4000
Luke Willson,DET,4500
MyCole Pruitt,TEN,4000
Tyler Kroft,CIN,4500
Dwayne Allen,NWE,4400
Darrell Daniels,SEA,4000
Ryan Hewitt,IND,4000
Gabe Holmes,ARI,4000
Levine Toilolo,DET,4300
Luke Stocker,TEN,4000
Jacob Hollister,NWE,4000
Durham Smythe,MIA,4000
Tyler Conklin,MIN,4100
Cole Wick,SFO,4000
Orson Charles,CLE,4000
Brian Parker,DEN,4000
Joshua Perkins,PHI,4000
