Player,Team,Salary
Travis Kelce,KC,6800
Jesse James,PIT,4600
O.J. Howard,TB,5400
Evan Engram,NYG,5800
Zach Ertz,PHI,6500
Austin Hooper,ATL,4800
Jimmy Graham,GB,6000
Will Dissly,SEA,4600
Kyle Rudolph,MIN,5900
Trey Burton,CHI,5700
Eric Ebron,IND,5500
Austin Seferian-Jenkins,JAX,4600
Garrett Celek,SF,4700
Mark Andrews,BAL,4000
A.J. Derby,MIA,4400
Michael Roberts,DET,4200
Josh Perkins,PHI,4000
Virgil Green,LAC,4300
Jared Cook,OAK,5000
Tyler Higbee,LAR,4200
Jake Butt,DEN,4800
Jordan Reed,WAS,6200
C.J. Uzomah,CIN,4300
Maxx Williams,BAL,4300
Jacob Hollister,NE,4000
Vance McDonald,PIT,4800
Chris Herndon,NYJ,4000
David Njoku,CLE,5300
Charles Clay,BUF,4800
Nick Vannett,SEA,4300
Ricky Seals-Jones,ARI,5200
Nick Boyle,BAL,4400
Benjamin Watson,NO,5100
Tyler Eifert,CIN,5500
George Kittle,SF,5600
Jordan Akins,HOU,4000
Jack Doyle,IND,5600
Eric Tomlinson,NYJ,4000
David Morgan,MIN,4200
Darren Fells,CLE,4300
Luke Stocker,TEN,4000
Rob Gronkowski,NE,8100
Ryan Griffin,HOU,4700
Gerald Everett,LAR,4500
James O'Shaughnessy,JAX,4000
Tyler Kroft,CIN,4500
Ian Thomas,CAR,4000
Jeff Heuerman,DEN,4400
Luke Willson,DET,4500
Jason Croom,BUF,4000
Logan Paulsen,ATL,4100
Rhett Ellison,NYG,4100
Logan Thomas,BUF,4400
Vernon Davis,WAS,4500
Derek Carrier,OAK,4100
Josh Hill,NO,4100
Lance Kendricks,GB,4300
Jeremy Sprinkle,WAS,4000
Dion Sims,CHI,4300
Blake Jarwin,DAL,4000
Chris Manhertz,CAR,4100
Neal Sterling,NYJ,4000
Antony Auclair,TB,4000
Marcedes Lewis,GB,4500
Antonio Gates,LAC,4800
Jonnu Smith,TEN,4200
Geoff Swaim,DAL,4000
Demetrius Harris,KC,4200
Mike Gesicki,MIA,4700
Xavier Grimble,PIT,4200
Dallas Goedert,PHI,4000
Lee Smith,OAK,4000
Matt LaCosse,DEN,4000
Jordan Thomas,HOU,4000
Dwayne Allen,NE,4400
Eric Saubert,ATL,4000
Alan Cross,TB,4000
Gabe Holmes,ARI,4000
Levine Toilolo,DET,4300
Ben Braunecker,CHI,4000
Tyler Conklin,MIN,4100
Cameron Brate,TB,4700
