Player,Team,Salary
Sammy Watkins,KAN,4600
Marvin Jones,DET,4800
Mike Evans,TAM,7800
Tyler Boyd,CIN,6700
Stefon Diggs,MIN,6700
Larry Fitzgerald,ARI,4400
Adam Thielen,MIN,8700
Will Fuller,HOU,6000
DeAndre Hopkins,HOU,7500
Antonio Brown,PIT,8500
Odell Beckham Jr.,NYG,7700
Julian Edelman,NWE,6200
DeVante Parker,MIA,3100
Davante Adams,GNB,7900
David Moore,SEA,3600
Josh Reynolds,LAR,3600
A.J. Green,CIN,8000
D.J. Moore,CAR,3600
DeSean Jackson,TAM,5300
Antonio Callaway,CLE,3800
Adam Humphries,TAM,3400
Danny Amendola,MIA,3800
Kendrick Bourne,SFO,3500
Anthony Miller,CHI,3400
Jordan Matthews,PHI,3100
Christian Kirk,ARI,4500
Michael Thomas,NOR,7300
Brandon LaFell,OAK,3000
Tyler Lockett,SEA,5200
Marquise Goodwin,SFO,5000
Marquez Valdes-Scantling,GNB,4600
Golden Tate,DET,6000
Seth Roberts,OAK,3400
Dede Westbrook,JAC,4600
Robert Woods,LAR,6800
Jarvis Landry,CLE,7200
Zay Jones,BUF,3600
Brandin Cooks,LAR,6900
Dontrelle Inman,IND,3000
Courtland Sutton,DEN,3800
Tim Patrick,DEN,3000
Willie Snead,BAL,4200
Deontay Burnett,NYJ,3000
Tyreek Hill,KAN,8600
Josh Doctson,WAS,3700
Donte Moncrief,JAC,4400
Nelson Agholor,PHI,4600
Taylor Gabriel,CHI,5100
Emmanuel Sanders,DEN,6500
Bennie Fowler,NYG,3300
Josh Gordon,NWE,6100
D.J. Chark,JAC,3400
Randall Cobb,GNB,4900
Josh Bellamy,CHI,3000
Jakeem Grant,MIA,3500
Alshon Jeffery,PHI,5800
Sterling Shepard,NYG,5500
JuJu Smith-Schuster,PIT,7400
Chris Godwin,TAM,4500
Chris Hogan,NWE,3900
Kelvin Benjamin,BUF,3700
Andre Holmes,BUF,3100
Michael Crabtree,BAL,4800
Paul Richardson,WAS,4000
Jermaine Kearse,NYJ,4300
Demaryius Thomas,DEN,4900
John Brown,BAL,5900
Curtis Samuel,CAR,3600
Devin Funchess,CAR,5400
Laquon Treadwell,MIN,3300
Equanimeous St. Brown,GNB,3500
Tre'Quan Smith,NOR,4000
Doug Baldwin,SEA,5500
T.Y. Hilton,IND,6300
Chad Williams,ARI,3000
Maurice Harris,WAS,3300
Chris Moore,BAL,3000
Cordarrelle Patterson,NWE,3200
Justin Hunter,PIT,3000
Damion Ratley,CLE,3600
Aldrick Robinson,MIN,3200
Keelan Cole,JAC,4500
Ray-Ray McCloud,BUF,3000
Jarius Wright,CAR,3400
Geronimo Allison,GNB,5000
Charone Peake,NYJ,3000
Jordy Nelson,OAK,4700
Kenny Golladay,DET,5700
Chester Rogers,IND,4200
Cam Phillips,BUF,3000
Rashad Greene,JAC,3000
Trent Taylor,SFO,4100
Kevin White,CHI,3000
Alex Erickson,CIN,3000
Justin Watson,TAM,3000
Dwayne Harris,OAK,3300
Demarcus Robinson,KAN,3000
J.J. Nelson,ARI,3000
Zach Pascal,IND,3300
Marcus Kemp,KAN,3000
Shelton Gibson,PHI,3000
Michael Floyd,WAS,3400
Darrius Heyward-Bey,PIT,3000
Phillip Dorsett,NWE,3600
Brandon Zylstra,MIN,3000
Austin Carr,NOR,3000
Brandon Powell,DET,3000
Damiere Byrd,CAR,3000
Josh Malone,CIN,3000
Martavis Bryant,OAK,3700
Chris Conley,KAN,3200
Javon Wims,CHI,3000
Vyncint Smith,HOU,3000
Cameron Meredith,NOR,3500
KhaDarel Hodge,LAR,3000
Jehu Chesson,WAS,3000
Andre Roberts,NYJ,3100
Sammie Coates,HOU,3000
Matthew Slater,NWE,3000
Victor Bolden,SFO,3000
DeAndre Carter,PHI,3000
Breshad Perriman,CLE,3000
Nick Williams,LAR,3000
Quadree Henderson,NYG,3000
Cody Core,CIN,3000
Richie James,SFO,3000
Jaron Brown,SEA,3200
Dante Pettis,SFO,3500
Russell Shepard,NYG,3000
Ryan Switzer,PIT,3100
