Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Block,Return TD,Pts Allow,POS
San Francisco 49ers,SF,1.0,1.87,0.85,0.64,0.03,0.08,0.08,0.02,23.94,DST
Chicago Bears,CHI,1.0,2.58,0.89,0.58,0.03,0.1,0.07,0.03,23.27,DST
Cincinnati Bengals,CIN,1.0,2.55,1.0,0.91,0.03,0.1,0.07,0.05,25.14,DST
Buffalo Bills,BUF,1.0,2.09,0.96,0.66,0.03,0.13,0.08,0.02,21.22,DST
Denver Broncos,DEN,1.0,2.63,1.0,0.61,0.05,0.14,0.07,0.03,21.01,DST
Cleveland Browns,CLE,1.0,1.47,0.92,0.72,0.03,0.09,0.08,0.03,24.38,DST
Tampa Bay Buccaneers,TB,1.0,1.52,0.89,0.58,0.04,0.09,0.05,0.03,27.45,DST
Arizona Cardinals,ARI,1.0,2.28,0.88,0.6,0.03,0.11,0.06,0.03,22.64,DST
Los Angeles Chargers,LAC,1.0,2.26,1.03,0.69,0.03,0.12,0.07,0.03,23.96,DST
Kansas City Chiefs,KC,1.0,1.84,1.06,0.61,0.03,0.09,0.06,0.03,24.01,DST
Indianapolis Colts,IND,1.0,2.44,0.92,0.69,0.03,0.1,0.07,0.03,19.68,DST
Dallas Cowboys,DAL,1.0,2.54,0.93,0.63,0.03,0.1,0.07,0.04,20.11,DST
Miami Dolphins,MIA,1.0,2.7,0.89,0.64,0.03,0.12,0.08,0.03,21.4,DST
Philadelphia Eagles,PHI,1.0,1.98,0.98,0.64,0.05,0.1,0.07,0.04,22.12,DST
Atlanta Falcons,ATL,1.0,2.04,0.95,0.7,0.03,0.13,0.08,0.02,21.35,DST
New York Giants,NYG,1.0,1.56,0.96,0.92,0.04,0.11,0.08,0.02,22.89,DST
Jacksonville Jaguars,JAX,1.0,2.14,1.06,0.77,0.04,0.14,0.06,0.03,16.04,DST
New York Jets,NYJ,1.0,2.44,1.02,0.58,0.04,0.12,0.07,0.03,23.32,DST
Detroit Lions,DET,1.0,2.54,1.02,0.62,0.03,0.14,0.07,0.03,19.53,DST
Green Bay Packers,GB,1.0,2.81,1.05,0.73,0.03,0.11,0.07,0.04,21.42,DST
Carolina Panthers,CAR,1.0,2.63,1.01,0.66,0.04,0.11,0.07,0.03,22.54,DST
New England Patriots,NE,1.0,2.91,1.07,0.71,0.04,0.13,0.08,0.03,18.24,DST
Oakland Raiders,OAK,1.0,1.93,0.86,0.63,0.03,0.09,0.07,0.03,26.61,DST
Los Angeles Rams,LA,1.0,1.7,1.01,0.6,0.04,0.13,0.08,0.03,18.75,DST
Baltimore Ravens,BAL,1.0,2.68,1.19,0.71,0.04,0.17,0.1,0.05,18.04,DST
Washington Redskins,WAS,1.0,2.82,1.02,0.67,0.04,0.13,0.06,0.03,20.31,DST
New Orleans Saints,NO,1.0,1.82,1.05,0.62,0.04,0.13,0.08,0.03,18.22,DST
Seattle Seahawks,SEA,1.0,2.06,0.93,0.62,0.03,0.11,0.06,0.03,21.24,DST
Pittsburgh Steelers,PIT,1.0,2.85,0.89,0.67,0.03,0.09,0.08,0.04,18.85,DST
Houston Texans,HOU,1.0,1.7,0.77,0.64,0.03,0.08,0.06,0.05,28.23,DST
Tennessee Titans,TEN,1.0,2.49,1.04,0.69,0.04,0.11,0.06,0.03,20.29,DST
Minnesota Vikings,MIN,1.0,2.39,1.06,0.62,0.03,0.14,0.07,0.04,19.59,DST
